,ave_demand,vlt,vlt_num
0,0,9 days,9
1,6,6 days,6
2,0.064516129,11 days,11
3,1,9 days,9
4,8,3 days,3
5,0.612903226,5 days,5
6,4.096774194,5 days,5
7,1.806451613,7 days,7
8,2.387096774,12 days,12
9,1.580645161,15 days,15
10,1.419354839,22 days,22
11,14.77419355,5 days,5
12,1,3 days,3
13,5,9 days,9
14,1.580645161,7 days,7
15,46.58064516,10 days,10
16,19.83870968,5 days,5
17,5.193548387,8 days,8
18,9.225806452,15 days,15
19,2.903225806,8 days,8
20,9.838709677,15 days,15
21,8.032258065,5 days,5
22,0.161290323,9 days,9
23,1.25,4 days,4
24,6,5 days,5
25,4.258064516,18 days,18
26,0.5,12 days,12
27,1.129032258,5 days,5
28,1.75,16 days,16
29,6.75,8 days,8
30,30.06451613,6 days,6
31,9.774193548,9 days,9
32,5.870967742,9 days,9
33,13.4516129,8 days,8
34,14.4516129,10 days,10
35,0.258064516,9 days,9
36,0.419354839,9 days,9
37,4,14 days,14
38,1,6 days,6
39,1,9 days,9
40,7.064516129,5 days,5
41,3.258064516,9 days,9
42,2.032258065,14 days,14
43,0.75,8 days,8
44,21.61290323,15 days,15
45,15.38709677,13 days,13
46,1.709677419,12 days,12
47,11.51612903,5 days,5
48,11.58064516,11 days,11
49,7.64516129,5 days,5
50,11.67741935,5 days,5
51,6.677419355,11 days,11
52,3.838709677,21 days,21
53,0,15 days,15
54,9.129032258,8 days,8
55,1.935483871,6 days,6
56,0.870967742,18 days,18
57,8.806451613,14 days,14
58,0,10 days,10
59,0,5 days,5
60,8,16 days,16
61,9,8 days,8
62,1.5,9 days,9
63,4.333333333,14 days,14
64,0,5 days,5
65,0,15 days,15
66,3,9 days,9
67,3.258064516,7 days,7
68,0,8 days,8
69,2.25,14 days,14
70,9.741935484,5 days,5
71,0.5,4 days,4
72,8.666666667,5 days,5
73,0,9 days,9
74,13,9 days,9
75,7,9 days,9
76,0,15 days,15
77,0,9 days,9
78,0.322580645,10 days,10
79,4,7 days,7
80,5.774193548,9 days,9
81,20.35483871,10 days,10
82,5.967741935,3 days,3
83,1.419354839,8 days,8
84,5.451612903,7 days,7
85,0.258064516,13 days,13
86,0,21 days,21
87,0.806451613,7 days,7
88,1.419354839,6 days,6
89,8,11 days,11
90,3.6,8 days,8
91,1.096774194,6 days,6
92,4.064516129,10 days,10
93,3.967741935,6 days,6
94,7.612903226,6 days,6
95,25.12903226,7 days,7
96,14.90322581,9 days,9
97,7.225806452,1 days,1
98,58.51612903,15 days,15
99,10.4516129,12 days,12
100,3,10 days,10
101,0.516129032,9 days,9
102,1,6 days,6
103,4.129032258,5 days,5
104,7.322580645,8 days,8
105,12.93548387,5 days,5
106,0.161290323,8 days,8
107,6.677419355,7 days,7
108,4,8 days,8
109,482.3225806,21 days,21
110,3.5,6 days,6
111,1.612903226,8 days,8
112,2.322580645,12 days,12
113,8.548387097,10 days,10
114,1.741935484,5 days,5
115,0,18 days,18
116,4.322580645,7 days,7
117,4.35483871,5 days,5
118,2.35483871,5 days,5
119,12.51612903,10 days,10
120,1.451612903,7 days,7
121,6,26 days,26
122,66.29032258,10 days,10
123,4.322580645,5 days,5
124,0.451612903,13 days,13
125,0.129032258,5 days,5
126,3.838709677,8 days,8
127,0.129032258,6 days,6
128,0.064516129,14 days,14
129,0.612903226,4 days,4
130,3.032258065,13 days,13
131,0.225806452,7 days,7
132,2.967741935,13 days,13
133,3.903225806,7 days,7
134,2.451612903,9 days,9
