sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt,vlt_num
0,4/17/20,42.485,"[51.0, 48.0, 47.0, 47.0, 45.0, 41.0, 39.0, 35.0, 35.0, 35.0, 34.0, 31.0, 29.0]","[3.0, 3.0, 1.0, 0.0, 2.0, 4.0, 2.0, 4.0, 0.0, 0.0, 1.0, 3.0, 2.0]",1.923076923,39.76923077,5 days,5
1,4/19/20,45.118,"[19.0, 17.0, 13.0, 56.0, 56.0, 54.0, 45.0, 45.0, 41.0, 40.0, 39.0, 39.0, 38.0, 36.0]","[4.0, 2.0, 4.0, 2.0, 0.0, 2.0, 9.0, 0.0, 4.0, 1.0, 1.0, 0.0, 1.0, 2.0]",2.285714286,38.42857143,6 days,6
2,4/16/20,28.431,"[32.0, 29.0, 25.0, 23.0, 22.0, 21.0, 20.0, 19.0, 19.0, 19.0, 17.0, 16.0, 16.0, 11.0]","[1.0, 3.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 5.0]",1.571428571,20.64285714,3 days,3
3,4/19/20,28.012,"[19.0, 16.0, 13.0, 40.0, 40.0, 37.0, 37.0, 34.0, 31.0, 28.0, 28.0, 27.0, 26.0, 26.0]","[1.0, 3.0, 3.0, 1.0, 0.0, 3.0, 0.0, 3.0, 3.0, 3.0, 0.0, 1.0, 1.0, 0.0]",1.571428571,28.71428571,6 days,6
4,4/16/20,59.626,"[62.0, 60.0, 59.0, 55.0, 53.0, 51.0, 49.0, 49.0, 44.0, 42.0, 36.0, 33.0, 28.0, 23.0]","[0.0, 2.0, 1.0, 4.0, 2.0, 2.0, 2.0, 0.0, 5.0, 2.0, 6.0, 3.0, 5.0, 5.0]",2.785714286,46,3 days,3
5,4/27/20,27.146,"[33, 32.0, 30.0, 25.0, 22.0, 47.0, 45.0, 43.0]","[1.0, 2.0, 5.0, 3.0, 2.0, 2.0, 2.0]",2.428571429,34.625,4 days,4
6,4/5/20,25.683,"[26, 25.0, 24.0, 23.0, 22.0, 20.0, 18.0, 40.0, 40.0, 39.0, 38.0, 35.0, 35.0, 31.0, 30.0, 30.0, 30.0, 28.0, 26.0, 25.0, 24.0, 23.0, 21.0, 20.0, 16.0, 15.0, 14.0, 12.0, 12.0, 12.0, 12.0, 12.0]","[1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 0.0, 4.0, 1.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]",1.258064516,24.3125,6 days,6
7,4/5/20,63.069,"[63, 63.0, 59.0, 56.0, 50.0, 45.0, 42.0, 101.0, 97.0, 95.0, 92.0, 91.0, 87.0, 75.0, 66.0, 64.0, 60.0, 53.0, 52.0, 51.0, 40.0, 31.0, 28.0, 27.0, 26.0, 22.0, 18.0, 8.0, 7.0, 7.0, 7.0, 1.0]","[0.0, 4.0, 3.0, 6.0, 5.0, 3.0, 4.0, 4.0, 2.0, 3.0, 1.0, 4.0, 12.0, 9.0, 2.0, 4.0, 7.0, 1.0, 1.0, 11.0, 9.0, 3.0, 1.0, 1.0, 4.0, 4.0, 10.0, 1.0, 0.0, 0.0, 6.0]",4.032258065,49.5,6 days,6
8,4/28/20,46.094,"[32, 30.0, 27.0, 27.0, 21.0, 19.0, 57.0, 57.0]","[2.0, 3.0, 0.0, 6.0, 2.0, 8.0, 0.0]",3,33.75,5 days,5
9,4/27/20,36.134,"[28, 24.0, 22.0, 19.0, 19.0, 52.0, 52.0, 52.0]","[4.0, 2.0, 3.0, 0.0, 3.0, 0.0, 0.0]",1.714285714,33.5,4 days,4
10,4/16/20,34.706,"[46.0, 44.0, 44.0, 41.0, 39.0, 39.0, 33.0, 27.0, 23.0, 22.0, 20.0, 17.0, 13.0]","[2.0, 2.0, 0.0, 3.0, 2.0, 0.0, 6.0, 6.0, 4.0, 1.0, 2.0, 3.0, 4.0]",2.692307692,31.38461538,4 days,4
11,4/16/20,23.174,"[27.0, 27.0, 27.0, 10.0, 10.0, 7.0, 7.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3.0, 0.0, 0.0, 17.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]",2,10.84615385,4 days,4
12,4/26/20,50.77,"[21, 16.0, 13.0, 12.0, 62.0, 61.0, 60.0, 55.0]","[5.0, 3.0, 1.0, 0.0, 1.0, 1.0, 5.0]",2.285714286,37.5,3 days,3
13,3/29/20,46.25,"[82.0, 79.0, 78.0, 71.0, 69.0, 69.0, 65.0, 63.0, 60.0, 56.0, 55.0, 54.0, 53.0, 49.0, 41.0, 41.0, 35.0, 35.0, 35.0, 33.0, 31.0, 31.0, 30.0, 29.0, 28.0, 27.0, 24.0, 23.0, 21.0, 21.0, 17.0, 17.0]","[3.0, 1.0, 7.0, 2.0, 0.0, 4.0, 2.0, 3.0, 4.0, 1.0, 1.0, 1.0, 4.0, 8.0, 0.0, 6.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0, 0.0, 4.0, 0.0]",2.096774194,44.4375,6 days,6
14,4/18/20,47.128,"[-6.0, 39.0, 32.0, 30.0, 29.0, 27.0, 27.0, 25.0, 25.0, 22.0, 20.0, 14.0, 14.0]","[0.0, 2.0, 7.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0, 6.0, 0.0]",2.076923077,22.92307692,6 days,6
15,4/5/20,52.802,"[52, 52.0, 47.0, 44.0, 39.0, 35.0, 30.0, 80.0, 79.0, 72.0, 68.0, 67.0, 64.0, 61.0, 60.0, 56.0, 54.0, 50.0, 49.0, 46.0, 46.0, 45.0, 43.0, 42.0, 42.0, 40.0, 38.0, 38.0, 37.0, 35.0, 32.0, 26.0]","[0.0, 5.0, 3.0, 5.0, 4.0, 5.0, 2.0, 1.0, 7.0, 4.0, 1.0, 3.0, 3.0, 1.0, 4.0, 2.0, 4.0, 1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 6.0]",2.516129032,49.03125,6 days,6
16,4/4/20,11.867,"[13, 13.0, 13.0, 12.0, 11.0, 10.0, 21.0, 16.0, 14.0, 14.0, 14.0, 13.0, 12.0, 12.0, 12.0, 7.0, 6.0, 4.0, 3.0, 3.0, 2.0, 2.0, 2.0, -1.0, -1.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 5.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 5.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.838709677,6.65625,5 days,5
17,4/26/20,53.331,"[29, 20.0, 16.0, 11.0, 62.0, 59.0, 52.0, 49.0]","[9.0, 4.0, 5.0, 2.0, 3.0, 7.0, 3.0]",4.714285714,37.25,3 days,3
18,4/18/20,19.064,"[0.0, 19.0, 19.0, 19.0, 19.0, 19.0, 16.0, 16.0, 16.0, -10.0, -10.0, -10.0, -11.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 26.0, 0.0, 0.0, 1.0]",2.307692308,7.846153846,6 days,6
19,4/4/20,47.149,"[47, 44.0, 42.0, 36.0, 30.0, 16.0, 58.0, 51.0, 45.0, 40.0, 39.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 34.0, 23.0, 15.0, 14.0, 14.0, 10.0, 4.0, -13.0, -19.0, -23.0, -36.0, -43.0]","[3.0, 2.0, 6.0, 6.0, 14.0, 5.0, 7.0, 6.0, 5.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 11.0, 8.0, 1.0, 0.0, 4.0, 6.0, 17.0, 6.0, 4.0, 13.0, 7.0]",4.419354839,23.5,5 days,5
20,4/25/20,52.086,"[38, 33.0, 29.0, 27.0, 23.0, 23.0, 69.0, 67.0, 61.0, 48.0, 48.0]","[5.0, 4.0, 2.0, 4.0, 0.0, 6.0, 2.0, 6.0, 13.0, 0.0]",4.2,42.36363636,5 days,5
21,3/30/20,19.969,"[14.0, 33.0, 32.0, 30.0, 30.0, 27.0, 27.0, 27.0, 25.0, 25.0, 21.0, 21.0, 16.0, 16.0, 14.0, 14.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0]","[0.0, 1.0, 2.0, 0.0, 3.0, 0.0, 0.0, 2.0, 0.0, 4.0, 0.0, 5.0, 0.0, 2.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]",0.903225806,15.6875,7 days,7
22,4/7/20,85.71,"[-10.0, -13.0, -16.0, -18.0, -22.0, -25.0, -30.0, -34.0, -41.0, 42.0, 41.0, 40.0, 40.0, 39.0, 39.0, 37.0, 36.0, 35.0, 34.0, 33.0, 33.0, 33.0, 33.0, 29.0, 25.0, 20.0, 20.0, 18.0, 12.0, 6.0, 0.0, -5.0]","[3.0, 3.0, 2.0, 4.0, 3.0, 5.0, 4.0, 7.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 4.0, 4.0, 5.0, 0.0, 2.0, 6.0, 6.0, 6.0, 5.0]",2.580645161,13.46875,15 days,15
23,4/9/20,58.352,"[38.0, 37.0, 35.0, 33.0, 30.0, 29.0, 29.0, 14.0, 12.0, 12.0, 12.0, 63.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 53.0, 52.0, 39.0, 35.0, 34.0, 32.0, 31.0, 30.0, 29.0, 29.0, 26.0]","[1.0, 2.0, 2.0, 3.0, 1.0, 0.0, 15.0, 2.0, 0.0, 0.0, 7.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 1.0, 13.0, 4.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 3.0]",2.258064516,39.53125,15 days,15
24,4/2/20,25.23,"[20.0, 17.0, 16.0, 16.0, 39.0, 39.0, 39.0, 39.0, 39.0, 35.0, 35.0, 35.0, 34.0, 30.0, 29.0, 29.0, 25.0, 24.0, 24.0, 23.0, 22.0, 20.0, 19.0, 16.0, 16.0, 16.0, 15.0, 14.0, 14.0, 13.0, 12.0, 11.0]","[3.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 4.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",1.096774194,24.21875,10 days,10
25,4/9/20,56.713,"[16.0, 12.0, 9.0, 7.0, 6.0, 6.0, 5.0, 3.0, 0.0, -1.0, -3.0, 46.0, 44.0, 42.0, 41.0, 41.0, 41.0, 39.0, 36.0, 36.0, 35.0, 35.0, 35.0, 34.0, 34.0, 32.0, 31.0, 31.0, 31.0, 27.0, 22.0, 20.0]","[4.0, 3.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 1.0, 2.0, 7.0, 2.0, 2.0, 1.0, 0.0, 0.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 4.0, 5.0, 2.0]",1.677419355,24.78125,15 days,15
26,4/5/20,72.431,"[41, 40.0, 28.0, 25.0, 24.0, 23.0, 21.0, 89.0, 85.0, 85.0, 83.0, 79.0, 77.0, 77.0, 74.0, 70.0, 44.0, 43.0, 41.0, 40.0, 40.0, 40.0, 39.0, 38.0, 36.0, 34.0, 34.0, 32.0, 29.0, 28.0, 25.0, 24.0]","[1.0, 12.0, 3.0, 1.0, 1.0, 2.0, 4.0, 4.0, 0.0, 2.0, 4.0, 2.0, 0.0, 3.0, 4.0, 26.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 3.0, 1.0, 3.0, 1.0]",2.870967742,46.5,6 days,6
27,4/27/20,53.265,"[29, 28.0, 27.0, 25.0, 23.0, 22.0, 20.0, 20.0, 68.0, 61.0, 54.0]","[1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 5.0, 7.0, 7.0]",2.8,34.27272727,7 days,7
28,4/27/20,74.41,"[20, 18.0, 17.0, 12.0, -1.0, -4.0, -6.0, -10.0, 61.0, 60.0, 56.0]","[2.0, 1.0, 5.0, 13.0, 3.0, 2.0, 4.0, 3.0, 1.0, 4.0]",3.8,20.27272727,7 days,7
29,3/30/20,64.545,"[36.0, 99.0, 91.0, 86.0, 83.0, 81.0, 76.0, 69.0, 54.0, 51.0, 45.0, 41.0, 39.0, 32.0, 29.0, 28.0, 25.0, 18.0, 17.0, 12.0, 11.0, 5.0, 4.0, 4.0, -2.0, -10.0, -18.0, -20.0, -21.0, -31.0, -36.0, -38.0]","[1.0, 8.0, 5.0, 3.0, 2.0, 5.0, 7.0, 15.0, 3.0, 6.0, 4.0, 2.0, 7.0, 3.0, 1.0, 3.0, 7.0, 1.0, 5.0, 1.0, 6.0, 1.0, 0.0, 6.0, 8.0, 8.0, 2.0, 1.0, 10.0, 5.0, 2.0]",4.451612903,26.875,7 days,7
30,4/25/20,58.603,"[16, 16.0, 11.0, 5.0, 5.0, 5.0, 63.0, 63.0, 62.0, 58.0, 58.0]","[0.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0]",1.6,32.90909091,5 days,5
31,4/6/20,66.33,"[15, 11.0, 9.0, 6.0, 4.0, -3.0, -5.0, -13.0, 50.0, 44.0, 39.0, 36.0, 35.0, 31.0, 22.0, 22.0, 18.0, 17.0, 17.0, 16.0, 16.0, 16.0, 14.0, 4.0, -2.0, -5.0, -6.0, -6.0, -9.0, -11.0, -12.0, -19.0]","[4.0, 2.0, 3.0, 2.0, 7.0, 2.0, 8.0, 3.0, 6.0, 5.0, 3.0, 1.0, 4.0, 9.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 10.0, 6.0, 3.0, 1.0, 0.0, 3.0, 2.0, 1.0, 7.0]",3.225806452,10.96875,7 days,7
32,4/27/20,21.336,"[18, 17.0, 17.0, 17.0, 15.0, 15.0, 14.0, 14.0, 30.0, 29.0, 29.0]","[1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 5.0, 1.0, 0.0]",1,19.54545455,7 days,7
