sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt
0,3/6/20,97,"[24.0, 21.0, 21.0, 19.0, 19.0, 19.0, 19.0, 113.0, 113.0, 112.0, 112.0, 111.0, 111.0, 111.0, 111.0, 111.0, 111.0, 111.0, 110.0, 107.0, 107.0, 105.0, 103.0, 103.0, 101.0, 99.0, 97.0, 97.0, 94.0, 93.0]","[3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 2.0, 0.0, 3.0, 1.0, 4.0]",1.066666667,86.16666667,11 days
1,2/20/20,21,"[17.0, 17.0, 13.0, 12.0, 11.0, 10.0, 5.0, 4.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -2.0, -4.0, -4.0, -5.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -12.0, -12.0, -22.0]","[0.0, 4.0, 1.0, 1.0, 1.0, 5.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 10.0, 11.0]",1.666666667,-0.1,3 days
2,3/2/20,37,"[6.0, 5.0, 5.0, 42.0, 42.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 38.0, 34.0, 32.0, 30.0, 30.0, 27.0, 27.0, 21.0, 20.0, 19.0, 19.0, 19.0, 18.0, 16.0, 14.0, 14.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 2.0, 2.0, 0.0, 3.0, 0.0, 6.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0]",0.966666667,28.23333333,7 days
3,3/7/20,70,"[-1.0, -3.0, -9.0, -15.0, -26.0, -28.0, -28.0, -30.0, 36.0, 35.0, 34.0, 32.0, 28.0, 28.0, 24.0, 21.0, 18.0, 15.0, 12.0, 10.0, 7.0, 5.0, 3.0, 2.0, 0.0, -1.0, -3.0, -7.0, -11.0, -15.0]","[2.0, 6.0, 6.0, 11.0, 2.0, 0.0, 2.0, 4.0, 1.0, 1.0, 2.0, 4.0, 0.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 4.0, 4.0, 4.0, 1.0]",2.833333333,4.433333333,12 days
4,3/2/20,70,"[17.0, 17.0, 17.0, 84.0, 79.0, 70.0, 67.0, 57.0, 56.0, 45.0, 43.0, 42.0, 42.0, 42.0, 40.0, 39.0, 33.0, 29.0, 24.0, 20.0, 13.0, 7.0, 7.0, 4.0, -6.0, -9.0, -13.0, -18.0, -22.0, -25.0]","[0.0, 0.0, 3.0, 5.0, 9.0, 3.0, 10.0, 1.0, 11.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 6.0, 4.0, 5.0, 4.0, 7.0, 6.0, 0.0, 3.0, 10.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0]",3.866666667,26.7,7 days
5,2/27/20,43,"[41.0, 40.0, 38.0, 35.0, 34.0, 32.0, 29.0, 29.0, 26.0, 25.0, 24.0, 24.0, 23.0, 23.0, 23.0, 22.0, 22.0, 21.0, 21.0, 19.0, 16.0, 16.0, 15.0, 8.0, -4.0, -5.0, -5.0, -8.0, -10.0, -10.0]","[1.0, 2.0, 3.0, 1.0, 2.0, 3.0, 0.0, 3.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 3.0, 0.0, 1.0, 7.0, 12.0, 1.0, 0.0, 3.0, 2.0, 0.0, 0.0]",1.7,18.8,10 days
6,3/6/20,106,"[49.0, 46.0, 45.0, 43.0, 43.0, 43.0, 38.0, 144.0, 143.0, 143.0, 139.0, 136.0, 135.0, 133.0, 123.0, 123.0, 116.0, 114.0, 114.0, 114.0, 112.0, 111.0, 106.0, 103.0, 101.0, 95.0, 94.0, 93.0, 91.0, 86.0]","[3.0, 1.0, 2.0, 0.0, 0.0, 5.0, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 2.0, 10.0, 0.0, 7.0, 2.0, 0.0, 0.0, 2.0, 1.0, 5.0, 3.0, 2.0, 6.0, 1.0, 1.0, 2.0, 5.0, 0.0]",2.3,99.2,11 days
7,2/26/20,25,"[18.0, 17.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 12.0, 12.0, 11.0, 9.0, 9.0, 8.0, -4.0, -7.0, -7.0, -7.0, -7.0, -9.0, -9.0, -10.0, -10.0, -10.0, -10.0, -11.0, -13.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.0, 12.0, 3.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0]",1.033333333,4.066666667,9 days
8,2/27/20,59,"[39.0, 36.0, 35.0, 35.0, 35.0, 33.0, 32.0, 32.0, 31.0, 30.0, 30.0, 28.0, 26.0, 26.0, 25.0, 25.0, 22.0, 21.0, 20.0, 18.0, 15.0, 14.0, 14.0, 13.0, 13.0, 13.0, 13.0, 12.0, 11.0, 9.0]","[3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0, 1.0, 2.0, 3.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0]",1.033333333,23.53333333,10 days
9,3/7/20,24,"[17.0, 17.0, 16.0, 15.0, 13.0, 12.0, 10.0, 9.0, 33.0, 32.0, 30.0, 30.0, 29.0, 29.0, 27.0, 27.0, 27.0, 27.0, 26.0, 20.0, 20.0, 19.0, 19.0, 17.0, 16.0, 16.0, 16.0, 16.0, 14.0, 13.0]","[0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 2.0]",1,20.4,12 days
