sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt,vlt_num
0,4/4/20,18,"[5, 3.0, 0.0, -2.0, -2.0, -2.0, 15.0, 12.0, 8.0, 7.0, 4.0, 1.0, 1.0, 1.0, 1.0, -3.0, -4.0, -4.0, -5.0, -5.0, -6.0, -6.0, -8.0, -10.0, -12.0, -14.0, -14.0, -14.0, -14.0, -17.0, -18.0, -19.0]","[2.0, 3.0, 2.0, 0.0, 0.0, 1.0, 3.0, 4.0, 1.0, 3.0, 3.0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 3.0, 1.0, 1.0]",1.35483871,-3.78125,5 days,5
1,4/4/20,46,"[38, 38.0, 37.0, 36.0, 36.0, 35.0, 81.0, 79.0, 79.0, 78.0, 78.0, 77.0, 75.0, 75.0, 75.0, 75.0, 72.0, 72.0, 72.0, 70.0, 68.0, 67.0, 65.0, 64.0, 55.0, 55.0, 54.0, 53.0, 52.0, 50.0, 50.0, 50.0]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 9.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0]",1.096774194,61.28125,5 days,5
2,4/4/20,46,"[38, 38.0, 37.0, 36.0, 36.0, 35.0, 81.0, 79.0, 79.0, 78.0, 78.0, 77.0, 75.0, 75.0, 75.0, 75.0, 72.0, 72.0, 72.0, 70.0, 68.0, 67.0, 65.0, 64.0, 55.0, 55.0, 54.0, 53.0, 52.0, 50.0, 50.0, 50.0]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 9.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0]",1.096774194,61.28125,5 days,5
3,4/4/20,46,"[38, 38.0, 37.0, 36.0, 36.0, 35.0, 81.0, 79.0, 79.0, 78.0, 78.0, 77.0, 75.0, 75.0, 75.0, 75.0, 72.0, 72.0, 72.0, 70.0, 68.0, 67.0, 65.0, 64.0, 55.0, 55.0, 54.0, 53.0, 52.0, 50.0, 50.0, 50.0]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 9.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0]",1.096774194,61.28125,5 days,5
4,3/30/20,95,"[3.0, 97.0, 95.0, 90.0, 87.0, 83.0, 59.0, 43.0, 41.0, 41.0, 28.0, 20.0, 14.0, 10.0, 5.0, 5.0, 0.0, 0.0, -2.0, -2.0, -2.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -4.0, -4.0, -5.0, -5.0, -6.0]","[1.0, 2.0, 5.0, 3.0, 4.0, 24.0, 16.0, 2.0, 0.0, 13.0, 8.0, 6.0, 4.0, 5.0, 0.0, 5.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",3.35483871,21.03125,6 days,6
5,3/31/20,72,"[10.0, 10.0, 81.0, 80.0, 80.0, 80.0, 75.0, 70.0, 70.0, 67.0, 62.0, 61.0, 59.0, 56.0, 55.0, 53.0, 52.0, 51.0, 49.0, 45.0, 41.0, 39.0, 36.0, 36.0, 36.0, 36.0, 33.0, 27.0, 25.0, 19.0, 17.0, 14.0]","[0.0, 1.0, 1.0, 0.0, 0.0, 5.0, 5.0, 0.0, 3.0, 5.0, 1.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 2.0, 4.0, 4.0, 2.0, 3.0, 0.0, 0.0, 0.0, 3.0, 6.0, 2.0, 6.0, 2.0, 3.0]",2.193548387,47.65625,8 days,8
6,4/2/20,29,"[20.0, 17.0, 16.0, 16.0, 43.0, 43.0, 43.0, 43.0, 43.0, 39.0, 39.0, 39.0, 38.0, 34.0, 33.0, 33.0, 29.0, 28.0, 28.0, 27.0, 26.0, 24.0, 23.0, 20.0, 20.0, 20.0, 19.0, 18.0, 18.0, 17.0, 16.0, 15.0]","[3.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 4.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",1.096774194,27.71875,10 days,10
7,3/31/20,26,"[13.0, 13.0, 39.0, 39.0, 36.0, 36.0, 36.0, 35.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 34.0, 33.0, 33.0, 31.0, 31.0, 31.0, 28.0, 28.0, 28.0, 28.0, 26.0, 21.0, 21.0, 21.0, 19.0, 19.0, 19.0, 19.0]","[0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 2.0, 5.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",0.64516129,28.78125,15 days,15
8,4/5/20,82,"[29, 24.0, 19.0, 9.0, 4.0, -1.0, -10.0, 66.0, 64.0, 62.0, 58.0, 55.0, 52.0, 49.0, 48.0, 44.0, 43.0, 43.0, 39.0, 37.0, 25.0, 22.0, 18.0, 14.0, 8.0, 4.0, -3.0, -5.0, -8.0, -8.0, -12.0, -17.0]","[5.0, 5.0, 10.0, 5.0, 5.0, 9.0, 6.0, 2.0, 2.0, 4.0, 3.0, 3.0, 3.0, 1.0, 4.0, 1.0, 0.0, 4.0, 2.0, 12.0, 3.0, 4.0, 4.0, 6.0, 4.0, 7.0, 2.0, 3.0, 0.0, 4.0, 5.0]",4.129032258,24.125,6 days,6
9,3/31/20,45,"[-16.0, -16.0, 28.0, 23.0, 16.0, 15.0, 13.0, 11.0, 11.0, 11.0, 7.0, 5.0, -8.0, -20.0, -20.0, -22.0, -22.0, -22.0, -22.0, -22.0, -22.0, -24.0, -25.0, -25.0, -27.0, -36.0, -38.0, -47.0, -47.0, -58.0, -58.0, -59.0]","[0.0, 1.0, 5.0, 7.0, 1.0, 2.0, 2.0, 0.0, 0.0, 4.0, 2.0, 13.0, 12.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 9.0, 2.0, 9.0, 0.0, 11.0, 0.0, 1.0]",2.838709677,-16.125,15 days,15
