sku_dc_pair_index,complete_tm,order_amount,test_inv,test_demand,ave_demand,ave_inv,vlt
0,2/20/20,6,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 1.0, 0.0, -2.0, -2.0, -8.0, -8.0, -8.0, -8.0, -9.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 6.0, 0.0, 0.0, 0.0, 1.0, 2.0]",0.566666667,1.6,3 days
1,2/27/20,102,"[70.0, 65.0, 64.0, 63.0, 63.0, 63.0, 61.0, 60.0, 59.0, 58.0, 55.0, 51.0, 50.0, 47.0, 45.0, 42.0, 40.0, 38.0, 37.0, 35.0, 34.0, 34.0, 33.0, 33.0, 33.0, 31.0, 31.0, 30.0, 18.0, 17.0]","[5.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 1.0, 3.0, 2.0, 3.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 12.0, 1.0, 3.0]",1.866666667,45.33333333,10 days
2,3/21/20,153,"[31, 25.0, 20.0, 16.0, 13.0, 12.0, 162.0, 157.0, 156.0, 156.0, 156.0, 156.0, 156.0, 156.0]","[6.0, 5.0, 4.0, 3.0, 1.0, 3.0, 5.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,98,5 days
3,3/3/20,76,"[0.0, 0.0, 0.0, 0.0, 76.0, 60.0, 58.0, 49.0, 49.0, 45.0, 40.0, 37.0, 37.0, 36.0, 33.0, 32.0, 30.0, 28.0, 28.0, 28.0, 26.0, 24.0, 24.0, 24.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0]","[0.0, 0.0, 0.0, 0.0, 16.0, 2.0, 9.0, 0.0, 4.0, 5.0, 3.0, 0.0, 1.0, 3.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",1.833333333,29.86666667,16 days
4,2/29/20,77,"[15.0, 92.0, 90.0, 86.0, 85.0, 84.0, 80.0, 79.0, 73.0, 64.0, 55.0, 51.0, 38.0, 34.0, 31.0, 28.0, 26.0, 26.0, 24.0, 23.0, 20.0, 19.0, 19.0, 17.0, 12.0, 6.0, -1.0, -11.0, -12.0, -13.0]","[0.0, 2.0, 4.0, 1.0, 1.0, 4.0, 1.0, 6.0, 9.0, 9.0, 4.0, 13.0, 4.0, 3.0, 3.0, 2.0, 0.0, 2.0, 1.0, 3.0, 1.0, 0.0, 2.0, 5.0, 6.0, 7.0, 10.0, 1.0, 1.0, 4.0]",3.633333333,38,19 days
5,2/27/20,36,"[34.0, 32.0, 30.0, 25.0, 20.0, 18.0, 16.0, 16.0, 10.0, 8.0, 7.0, 7.0, 6.0, 6.0, 6.0, 2.0, -1.0, -2.0, -4.0, -9.0, -12.0, -12.0, -12.0, -12.0, -14.0, -15.0, -16.0, -22.0, -23.0, -25.0]","[2.0, 2.0, 5.0, 5.0, 2.0, 2.0, 0.0, 6.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4.0, 3.0, 1.0, 2.0, 5.0, 3.0, 0.0, 0.0, 0.0, 2.0, 1.0, 1.0, 6.0, 1.0, 2.0, 1.0]",2,2.133333333,10 days
6,3/5/20,30,"[2.0, -3.0, -4.0, -4.0, -4.0, -4.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 24.0, 24.0, 23.0, 23.0, 22.0, 18.0, 17.0, 16.0, 9.0, 9.0, 7.0, 7.0, 6.0, 5.0, 3.0, 2.0, 2.0, 2.0]","[5.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.0, 1.0, 1.0, 7.0, 0.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0]",1,11.66666667,15 days
7,3/10/20,27,"[6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 29.0, 29.0, 29.0, 27.0, 24.0, 23.0, 22.0, 22.0, 20.0, 20.0, 20.0, 20.0, 18.0, 18.0, 17.0, 17.0, 17.0, 15.0, 15.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 3.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0]",0.6,15.26666667,15 days
8,2/28/20,39,"[29.0, 29.0, 28.0, 25.0, 19.0, 19.0, 17.0, 14.0, 14.0, 11.0, 7.0, 5.0, 4.0, 4.0, -5.0, -5.0, -6.0, -6.0, -7.0, -8.0, -8.0, -10.0, -12.0, -12.0, -12.0, -15.0, -16.0, -23.0, -30.0, -30.0]","[0.0, 1.0, 3.0, 6.0, 0.0, 2.0, 3.0, 0.0, 3.0, 4.0, 2.0, 1.0, 0.0, 9.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 1.0, 7.0, 7.0, 0.0, 5.0]",2.133333333,0.666666667,11 days
9,3/24/20,90,"[42, 40.0, 38.0, 35.0, 35.0, 32.0, 28.0, 22.0, 22.0, 20.0, 17.0, 15.0, 10.0, 5.0, 0.0, -1.0, 85.0, 80.0, 76.0, 74.0, 71.0]","[2.0, 2.0, 3.0, 0.0, 3.0, 4.0, 6.0, 0.0, 2.0, 3.0, 2.0, 5.0, 5.0, 5.0, 1.0, 4.0, 5.0, 4.0, 2.0, 3.0, 5.0]",3.142857143,35.52380952,15 days
